Angle,Distance
1,0.35794547486586303
2,0.7135650504915247
3,1.0685336021869496
4,1.4215287716201397
5,1.77322656260392
6,2.123304246611095
7,2.470447371435318
8,2.814341851362636
9,3.154676559861972
10,3.4911434844272105
11,3.8244195067124025
12,4.152236565116489
13,4.474307337494054
14,4.792290592077407
15,5.103952066111889
16,5.409019563044123
17,5.707226783587714
18,5.999264504790923
19,6.28391645343182
20,6.560933878328522
21,6.829140819826371
22,7.090174935872712
23,7.341946711136067
24,7.584254389348125
25,7.817810970977374
26,8.042409126285316
27,8.256957459654329
28,8.46128678236823
29,8.655236621851719
30,8.838655271022613
31,9.010542664980184
32,9.172488208029133
33,9.323500703848131
34,9.462634853144653
35,9.589812982491834
36,9.705776881516973
37,9.809639969909348
38,9.902143129823294
39,9.982439874916523
40,10.05050309372132
41,10.105561279182337
42,10.149128881546169
43,10.180443526538511
44,10.198799689199483
45,10.20496506608485
46,10.19897419507721
47,10.180189520651625
48,10.149373037251332
49,10.10593328257085
50,10.049984277450239
51,9.982280042831189
52,9.901683507664675
53,9.809584877377137
54,9.705510085855309
55,9.589624439355068
56,9.462103119630406
57,9.322586362351242
58,9.172372544611521
59,9.010591120553414
60,8.837499999998471
61,8.654336531019748
62,8.46034703296577
63,8.255817237761784
64,8.041480316697259
65,7.817592605681098
66,7.583604710151722
67,7.340665710930715
68,7.089055173805226
69,6.8283429106327995
70,6.559604328845295
71,6.282814244710669
72,5.998328877816428
73,5.706510932779541
74,5.407729283775746
75,5.102358655150656
76,4.790779298562737
77,4.473601617738074
78,4.150748995482065
79,3.822858222365757
80,3.49032837111265
81,3.153405946285062
82,2.8128275435050174
83,2.468829158704585
84,2.121718747398651
85,1.7720505615383786
86,1.4202418054271249
87,1.066711460135533
88,0.7118450342372835
89,0.3561512581671469
